path,name,parent,type,size
C:\Users\Vadim\Desktop\Dive_into_Python\Projects\Python_dive_homework\seminar_8\file_output.txt,file_output.txt,seminar_8,file,125
C:\Users\Vadim\Desktop\Dive_into_Python\Projects\Python_dive_homework\seminar_8\homework.py,homework.py,seminar_8,file,2686
C:\Users\Vadim\Desktop\Dive_into_Python\Projects\Python_dive_homework\seminar_8\hw_f.csv,hw_f.csv,seminar_8,file,4122
C:\Users\Vadim\Desktop\Dive_into_Python\Projects\Python_dive_homework\seminar_8\hw_f.json,hw_f.json,seminar_8,file,7431
C:\Users\Vadim\Desktop\Dive_into_Python\Projects\Python_dive_homework\seminar_8\hw_f.pkl,hw_f.pkl,seminar_8,file,4254
C:\Users\Vadim\Desktop\Dive_into_Python\Projects\Python_dive_homework\seminar_8\output.json,output.json,seminar_8,file,255
C:\Users\Vadim\Desktop\Dive_into_Python\Projects\Python_dive_homework\seminar_8\output.pickle,output.pickle,seminar_8,file,120
C:\Users\Vadim\Desktop\Dive_into_Python\Projects\Python_dive_homework\seminar_8\task5_users.json,task5_users.json,seminar_8,file,480
C:\Users\Vadim\Desktop\Dive_into_Python\Projects\Python_dive_homework\seminar_8\task5_users.pickle,task5_users.pickle,seminar_8,file,203
C:\Users\Vadim\Desktop\Dive_into_Python\Projects\Python_dive_homework\seminar_8\task6_users.csv,task6_users.csv,seminar_8,file,162
C:\Users\Vadim\Desktop\Dive_into_Python\Projects\Python_dive_homework\seminar_8\task_1.py,task_1.py,seminar_8,file,974
C:\Users\Vadim\Desktop\Dive_into_Python\Projects\Python_dive_homework\seminar_8\task_2.py,task_2.py,seminar_8,file,1542
C:\Users\Vadim\Desktop\Dive_into_Python\Projects\Python_dive_homework\seminar_8\task_3.py,task_3.py,seminar_8,file,912
C:\Users\Vadim\Desktop\Dive_into_Python\Projects\Python_dive_homework\seminar_8\task_4.py,task_4.py,seminar_8,file,1490
C:\Users\Vadim\Desktop\Dive_into_Python\Projects\Python_dive_homework\seminar_8\task_5.py,task_5.py,seminar_8,file,685
C:\Users\Vadim\Desktop\Dive_into_Python\Projects\Python_dive_homework\seminar_8\task_6.py,task_6.py,seminar_8,file,977
C:\Users\Vadim\Desktop\Dive_into_Python\Projects\Python_dive_homework\seminar_8\task_7.py,task_7.py,seminar_8,file,562
C:\Users\Vadim\Desktop\Dive_into_Python\Projects\Python_dive_homework\seminar_8\test_file.py,test_file.py,seminar_8,file,0
C:\Users\Vadim\Desktop\Dive_into_Python\Projects\Python_dive_homework\seminar_8\users.csv,users.csv,seminar_8,file,57
C:\Users\Vadim\Desktop\Dive_into_Python\Projects\Python_dive_homework\seminar_8\users.json,users.json,seminar_8,file,170
C:\Users\Vadim\Desktop\Dive_into_Python\Projects\Python_dive_homework\seminar_8\users.pickle,users.pickle,seminar_8,file,100
C:\Users\Vadim\Desktop\Dive_into_Python\Projects\Python_dive_homework\seminar_8,seminar_8,Python_dive_homework,dir,27307
C:\Users\Vadim\Desktop\Dive_into_Python\Projects\Python_dive_homework\seminar_8\test_dir_1\file_output.txt,file_output.txt,test_dir_1,file,125
C:\Users\Vadim\Desktop\Dive_into_Python\Projects\Python_dive_homework\seminar_8\test_dir_1\homework.py,homework.py,test_dir_1,file,2686
C:\Users\Vadim\Desktop\Dive_into_Python\Projects\Python_dive_homework\seminar_8\test_dir_1\output.json,output.json,test_dir_1,file,255
C:\Users\Vadim\Desktop\Dive_into_Python\Projects\Python_dive_homework\seminar_8\test_dir_1\output.pickle,output.pickle,test_dir_1,file,120
C:\Users\Vadim\Desktop\Dive_into_Python\Projects\Python_dive_homework\seminar_8\test_dir_1,test_dir_1,seminar_8,dir,3186
C:\Users\Vadim\Desktop\Dive_into_Python\Projects\Python_dive_homework\seminar_8\test_dir_2\task5_users.json,task5_users.json,test_dir_2,file,480
C:\Users\Vadim\Desktop\Dive_into_Python\Projects\Python_dive_homework\seminar_8\test_dir_2\task5_users.pickle,task5_users.pickle,test_dir_2,file,203
C:\Users\Vadim\Desktop\Dive_into_Python\Projects\Python_dive_homework\seminar_8\test_dir_2\task6_users.csv,task6_users.csv,test_dir_2,file,162
C:\Users\Vadim\Desktop\Dive_into_Python\Projects\Python_dive_homework\seminar_8\test_dir_2,test_dir_2,seminar_8,dir,845
C:\Users\Vadim\Desktop\Dive_into_Python\Projects\Python_dive_homework\seminar_8\test_empty_dir,test_empty_dir,seminar_8,dir,0
